sector,school_name,suburb,postcode,phone,public_email,contact_form_url,website_url,source_directory_url,last_verified_date,lat,lon,website_checked
government,Western Australian College Of Agriculture - Morawa,Morawa,6623,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4203,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-29.21436066,116.001998,false
government,North East Metropolitan Language Development Centre,Dianella,6059,,,https://northeastldc.wa.edu.au/contact-us/,http://northeastldc.wa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.8898,115.886,false
government,West Coast Language Development Centre,Padbury,6025,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=6045,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.80498526,115.7605909,false
independent,OneSchool Global WA,Willetton,6155,,,,http://www.oneschoolglobal.com,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.056546,115.901724,true
independent,Kwoorabup Community School,Denmark,6333,,,http://www.kwoorabup.wa.edu.au/contact-us,http://www.kwoorabup.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-34.97048,117.365606,false
government,Western Australian College Of Agriculture - Harvey,Wokalup,6221,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4204,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.129635,115.913733,true
government,Mindarie Senior College,Mindarie,6030,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4171,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.67751,115.70685,false
government,John Tonkin College Education Support Centre,Mandurah,6210,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=6093,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.51774,115.75531,false
government,Cyril Jackson Senior Campus Education Support Centre,Bassendean,6054,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=6048,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.91352,115.9427,false
government,Geraldton Senior High School,Geraldton,6530,,,https://geraldtonshs.wa.edu.au/contact-us/,http://www.geraldtonshs.wa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-28.77976937,114.61151839,true
government,Eastern Goldfields College,Kalgoorlie,6430,,college@egc.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4182,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-30.7502,121.4752,true
catholic,Holy Cross College,Ellenbrook,6069,,,,http://www.holycross.wa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.771347,115.974141,true
government,Manea Senior College,Bunbury,6230,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4179,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.36571467,115.65423721,false
government,Kingston Primary School,Australind,6233,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5810,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.258956,115.745626,false
independent,Banksia Montessori School,Dianella,6059,,info@banksia.wa.edu.au,https://www.banksia.wa.edu.au/,http://www.banksia.wa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.89253246,115.86852018,true
catholic,Notre Dame Catholic Primary School,Cloverdale,6105,,admin@nds.wa.edu.au,https://www.nds.wa.edu.au/,http://www.nds.wa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.95636,115.94122,true
catholic,Geraldton Flexible School,Geraldton,6530,,geraldton@youthplus.edu.au,,http://youthplus.edu.au/geraldton-flc,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-28.769276943301,114.61891064542,true
independent,Alta-1 College,Joondalup,6027,,admin@alta1.wa.edu.au,https://alta1.com.au/contact/,http://www.alta-1.wa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,,,true
catholic,St John Paul II Catholic Primary School,Banksia Grove,6031,,admin@sjpiicps.wa.edu.au,https://sjpiicps.wa.edu.au/,http://www.sjpiicps.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.69606,115.80548,true
government,Albany Senior High School,Albany,6330,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4001,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-35.01976406,117.891925,true
government,Applecross Senior High School,Ardross,6153,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4002,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.02877,115.83382,false
government,Armadale Senior High School,Armadale,6112,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4003,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.1616299,116.0163477,false
government,Balcatta Senior High School,Balcatta,6021,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4004,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.87572953,115.8126093,true
government,Belmont City College,Belmont,6104,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4005,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.9557464,115.9362663,false
government,Bridgetown High School,Bridgetown,6255,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4007,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.96079,116.14142,true
government,Bunbury Senior High School,Bunbury,6230,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4008,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.32722222,115.6327778,false
government,Busselton Senior High School,Busselton,6280,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4009,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.656981,115.325541,false
government,Carnarvon Community College,East Carnarvon,6701,,,,https://carnarvoncc.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-24.866728,113.677542,true
government,Churchlands Senior High School,Churchlands,6018,,enquiries@churchlands.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4012,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.91711398,115.7892596,true
government,Collie Senior High School,Collie,6225,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4014,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.36293067,116.1569321,false
government,Eastern Hills Senior High School,Mount Helena,6082,,easternhills.shs.enrolments@education.wa.edu.au,https://ehshs.wa.edu.au/contacts/,http://www.ehshs.wa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.87515,116.21982,true
government,Esperance Senior High School,Esperance,6450,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4018,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.86039,121.870968,false
government,Governor Stirling Senior High School,Woodbridge,6056,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4020,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.890277,115.990297,false
government,Hampton Senior High School,Morley,6062,,,,http://hampton.wa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.8901676,115.9259254,true
government,Harvey Senior High School,Harvey,6220,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4023,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.08363148,115.9065456,true
government,John Curtin College Of The Arts,Fremantle,6160,,,,http://www.jc.wa.edu.au,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.04943,115.75751,true
government,John Forrest Secondary College,Morley,6062,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4026,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.904638,115.900069,true
government,Kalamunda Senior High School,Kalamunda,6076,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4027,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.97841597,116.0588438,false
government,Katanning Senior High School,Katanning,6317,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4028,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.68261,117.56833,false
government,Kent Street Senior High School,Kensington,6151,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4029,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.98533,115.89328,false
government,Gilmore College,Orelia,6167,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4031,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.23769,115.81534,false
government,Manjimup Senior High School,Manjimup,6258,,,,https://www.manjimupshs.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-34.23444,116.1338,true
government,Margaret River Senior High School,Margaret River,6285,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4033,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.959932,115.073545,true
government,Melville Senior High School,Melville,6156,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4034,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.04672,115.8046,false
government,Dianella Secondary College,Dianella,6059,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4036,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.87763059,115.8536258,false
government,Mount Lawley Senior High School,Mount Lawley,6050,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4038,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.921698,115.870796,false
government,Narrogin Senior High School,Narrogin,6312,,amanda.ruiz-dorado@education.wa.edu.au,https://www.nshs.wa.edu.au/,https://www.nshs.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.93742,117.19032,true
government,Newton Moore Senior High School,South Bunbury,6230,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4040,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.36018,115.63407,true
government,Northam Senior High School,Northam,6401,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4041,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.64772717,116.667809,false
government,Perth Modern School,Subiaco,6008,,perthmodern@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4042,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.94522949,115.8374242,true
government,Pinjarra Senior High School,Pinjarra,6208,,,https://www.pinjarrashs.wa.edu.au/,https://www.pinjarrashs.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.63306,115.87207,false
government,Rossmoyne Senior High School,Rossmoyne,6148,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4048,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.04546,115.869625,true
government,Como Secondary College,Como,6152,,,,https://www.como.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.00338632,115.869796,true
government,Balga Senior High School,Balga,6061,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4050,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.85174717,115.8454908,false
government,Morley Senior High School,Noranda,6062,,general@morleyshs.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4051,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.87476036,115.8838756,true
government,Central Midlands Senior High School,Moora,6510,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4052,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-30.64064,116.01416,true
government,Hedland Senior High School,South Hedland,6722,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4053,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-20.39952,118.59729,false
government,Rockingham Senior High School,Rockingham,6168,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4054,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.28475182,115.7369159,true
government,Thornlie Senior High School,Thornlie,6108,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4055,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.06545,115.95953,false
government,Karratha Senior High School,Karratha,6714,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4056,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-20.746398,116.825291,false
government,Carine Senior High School,Carine,6020,,,,http://www.carinehs.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.85183733,115.7769596,true
government,Kelmscott Senior High School,Kelmscott,6111,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4058,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.12032668,116.00996448,false
government,Beverley District High School,Beverley,6304,,,https://www.beverleydhs.wa.edu.au/page/88/Contact-Us,https://www.beverleydhs.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.10055556,116.9283333,true
government,Boddington District High School,Boddington,6390,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4061,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.801617,116.467214,false
government,Boyup Brook District High School,Boyup Brook,6244,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4062,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.83609734,116.3914541,false
government,Brookton District High School,Brookton,6306,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4063,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.37214309,117.0093843,true
government,Broome Senior High School,Broome,6725,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4064,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-17.95472222,122.2308333,false
government,Bruce Rock District High School,Bruce Rock,6418,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4065,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.87333333,118.1444444,false
government,Bullsbrook College,Bullsbrook,6084,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4066,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.66185218,116.0337665,false
government,Carnamah District High School,Carnamah,6517,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4067,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-29.68721,115.89189,false
government,Corrigin District High School,Corrigin,6375,,,javascript:void(0),https://www.corrigindhs.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.32684,117.8768,true
government,Cunderdin District High School,Cunderdin,6407,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4069,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.655,117.24465,false
government,Dalwallinu District High School,Dalwallinu,6609,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4070,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-30.27092,116.66218,false
government,Denmark Senior High School,Denmark,6333,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4072,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-34.95797,117.36516,false
government,Derby District High School,Derby,6728,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4073,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-17.30928,123.6346,false
government,Donnybrook District High School,Donnybrook,6239,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4074,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.57519966,115.8206541,false
government,Dowerin District High School,Dowerin,6461,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4075,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.19182716,117.0334927,false
government,Exmouth District High School,Exmouth,6707,,,https://exmouthdhs.wa.edu.au/contact/,http://www.exmouthdhs.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-21.93313,114.12393,false
government,Gnowangerup District High School,Gnowangerup,6335,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4078,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.93821653,118.0083248,true
government,Jerramungup District High School,Jerramungup,6337,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4080,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.942836,118.91783,false
government,Kellerberrin District High School,Kellerberrin,6410,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4081,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-31.63153176,117.717504,true
government,Kojonup District High School,Kojonup,6395,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4082,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.83966,117.15665,false
government,Kulin District High School,Kulin,6365,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4083,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.669218,118.152704,false
government,Lake Grace District High School,Lake Grace,6353,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4084,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.1037155,118.4600298,false
government,Meekatharra District High School,Meekatharra,6642,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4085,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-26.59264,118.49187,true
government,Morawa District High School,Morawa,6623,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4086,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-29.21144287,116.005997,false
government,Mukinbudin District High School,Mukinbudin,6479,,,https://www.mukinbudindhs.wa.edu.au,https://www.mukinbudindhs.wa.edu.au/,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-30.916169,118.208922,false
government,Mullewa District High School,Mullewa,6630,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4088,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-28.53666667,115.5125,true
government,Nannup District High School,Nannup,6275,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4089,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-33.98954,115.76471,true
government,Narembeen District High School,Narembeen,6369,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4090,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.06306,118.39199,false
government,Norseman District High School,Norseman,6443,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4092,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.19203423,121.7751092,false
government,Northampton District High School,Northampton,6535,,teachinwa@education.wa.edu.au,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4093,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-28.3525,114.6452778,true
government,Northcliffe District High School,Northcliffe,6262,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4094,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-34.63326,116.11854,false
government,Pemberton District High School,Pemberton,6260,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4095,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-34.44821984,116.0457945,false
government,Quairading District High School,Quairading,6383,,,http://www.det.wa.edu.au/schoolsonline/home.do,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4097,https://acaraweb.azurewebsites.net/contact-us/acara-data-access,2026-02-20,-32.00703,117.3989,false
